"test","cutoff","bandwidth","n","bw_cov","bw_mse","iv_coeff","frd_coeff","bc_robust_coeff","lambda_1_coeff","lambda_4_coeff","iv_CI_lower","iv_CI_upper","frd_CI_lower","frd_CI_upper","bc_robust_CI_lower","bc_robust_CI_upper","lambda_1_CI_lower","lambda_1_CI_upper","lambda_4_CI_lower","lambda_4_CI_upper","AR_2_CI_lower","AR_2_CI_upper"
"verb","40","6","149","6.65669497556096","9.74763476923976","-0.115705576533187","-0.124036148832988","-0.234612989086911","-0.0999895248255068","-0.0693668244746469","-0.278659457974594","0.04724830490822","-0.386996080075046","0.13892378240907","-0.791919976456219","0.322693998282398","-0.231704813913792","0.031725764262778","-0.150516960576053","0.0117833116267589","-Inf","Inf"
"verb","40","8","229","6.65669497556096","9.74763476923976","-0.0904703753513528","-0.103217505660638","-0.145845484528334","-0.087408658740637","-0.0792080804588567","-0.167388720278903","-0.0135520304238027","-0.226244140905471","0.0198091295841947","-0.381158292027194","0.0894673229705258","-0.160795831508262","-0.0140214859730121","-0.143599635291255","-0.0148165256264585","-0.783132530120482","0.100401606425703"
"verb","40","10","295","6.65669497556096","9.74763476923976","-0.0599444160002937","-0.0806267806635359","-0.131755320507113","-0.0586655262364327","-0.0550696002154057","-0.10950521706258","-0.0103836149380077","-0.15693255246024","-0.00432100886683146","-0.267206351280791","0.00369571026656509","-0.107070105532915","-0.0102609469399498","-0.100305025146185","-0.00983417528462649","-0.261044176706827","-0.0200803212851408"
"verb","40","12","379","6.65669497556096","9.74763476923976","-0.0480395075685482","-0.0674669885370933","-0.112511508086602","-0.0474488648136183","-0.0457372089299211","-0.0845934607143208","-0.0114855544227757","-0.122572957016335","-0.0123610200578515","-0.20570239561108","-0.0193206205621238","-0.0835781957532028","-0.0113195338740339","-0.0806511752248334","-0.0108232426350089","-0.261044176706827","0.0602409638554215"
"verb","40","14","445","6.65669497556096","9.74763476923976","-0.0487608335820711","-0.0583815322570752","-0.0959671429695207","-0.0483918911837154","-0.0473091905447875","-0.0788064078851066","-0.0187152592790356","-0.100810089940626","-0.0159529745735247","-0.166702952701539","-0.025231333237502","-0.0782197967704253","-0.0185639855970055","-0.0765032485656872","-0.0181151325238877","-0.140562248995984","0.0200803212851408"
"verb","40","16","527","6.65669497556096","9.74763476923976","-0.0301660302960245","-0.0468284012463321","-0.0831701396363238","-0.0299900717077226","-0.029469757888124","-0.0541343794266892","-0.00619768116535984","-0.0793439852081892","-0.014312817284475","-0.136696936840551","-0.029643342432097","-0.0538569276983751","-0.00612321571707002","-0.0530375242293165","-0.00590199154693156","-0.220883534136546","0.100401606425703"
"verb","40","18","609","6.65669497556096","9.74763476923976","-0.0286024797634833","-0.0396341163326373","-0.0734969921911116","-0.0284815265654018","-0.0281223558984063","-0.0489614873531157","-0.0082434721738508","-0.0666269191012113","-0.0126413135640633","-0.117535575550613","-0.0294584088316104","-0.0487802227445404","-0.00818283038626323","-0.0482423853170997","-0.00800232647971284","-0.100401606425703","0.0200803212851408"
"math","40","6","149","7.39450457226129","10.8280355543559","-0.0950350295882999","-0.101183285922258","-0.138787419760102","-0.0806138557997145","-0.0525142228989323","-0.242842238065322","0.0527721788887221","-0.321884442489055","0.119517870644538","-0.620751141033009","0.343176301512804","-0.200935486354425","0.0397077747549961","-0.128383957557421","0.0233555117595561","-Inf","Inf"
"math","40","8","229","7.39450457226129","10.8280355543559","-0.0756814517678657","-0.087288123970285","-0.106399177205302","-0.0727167631345211","-0.0647760670120403","-0.152488196322624","0.00112529278689251","-0.199009503099587","0.0244332551590168","-0.30780094722289","0.0950025928122855","-0.146170486850674","0.000736960581631335","-0.129674332246718","0.000122198222637648","-0.742971887550201","0.140562248995984"
"math","40","10","295","7.39450457226129","10.8280355543559","-0.0503858410552647","-0.0678866484286222","-0.106644746740398","-0.0490816765398078","-0.0454146840832629","-0.104828261407835","0.00405657929730566","-0.142349371998508","0.0065760751412634","-0.224563969699662","0.0112744762188648","-0.102333984616142","0.00417063153652673","-0.0953963068225774","0.00456693865605159","-0.220883534136546","-0.0200803212851408"
"math","40","12","379","7.39450457226129","10.8280355543559","-0.0317983051804511","-0.0517779926555116","-0.100041528248368","-0.0312615917988769","-0.0297062207903224","-0.0727044897584719","0.00910787939756959","-0.107774653002744","0.00421866769172039","-0.183271881652151","-0.0168111748445862","-0.0717407641180978","0.00921758052034406","-0.0689589125757385","0.00954647099509374","-0.220883534136546","0.0602409638554215"
"math","40","14","445","7.39450457226129","10.8280355543559","-0.0332624928529555","-0.0435972486327337","-0.0819360271199195","-0.0329473969625491","-0.0320227146181322","-0.067987339448536","0.00146235374262502","-0.0884735192327219","0.00127902196725443","-0.148991051898675","-0.014881002341164","-0.067448229303533","0.00155343537843473","-0.0658693644374711","0.00182393520120667","-0.140562248995984","0.0200803212851408"
"math","40","16","527","7.39450457226129","10.8280355543559","-0.0187625153301081","-0.0347738487828192","-0.0703504261015409","-0.01860396685402","-0.0181351351591248","-0.0472273109005409","0.00970228024032462","-0.0713426011138423","0.00179490354820393","-0.125151564519379","-0.0155492876837031","-0.0469552789265016","0.00974734521846164","-0.0461516057512905","0.00988133543304104","-0.140562248995984","0.0602409638554215"
"math","40","18","609","7.39450457226129","10.8280355543559","-0.0172824953485504","-0.0287663907344785","-0.0623292469456754","-0.0171719338793087","-0.0168436214635857","-0.0425211743986365","0.00795618370153562","-0.0606031892266096","0.00307040775765255","-0.110328293914629","-0.0143301999767222","-0.042340187990512","0.0079963202318945","-0.0418030507029729","0.00811580777580152","-0.100401606425703","0.0200803212851408"
