"dgp","error_distribution","running_variable","setup","p1","n","n_errors","error_rate","successful_sims"
1,2,1,1,0.6,300,0,0,10000
1,2,1,1,0.7,300,0,0,10000
1,2,1,1,0.8,300,0,0,10000
1,2,1,1,0.9,300,1,1e-04,9999
1,2,1,2,0.6,300,0,0,10000
1,2,1,2,0.7,300,0,0,10000
1,2,1,2,0.8,300,0,0,10000
1,2,1,2,0.9,300,7,7e-04,9993
1,2,1,3,0.6,300,0,0,10000
1,2,1,3,0.7,300,1,1e-04,9999
1,2,1,3,0.8,300,0,0,10000
1,2,1,3,0.9,300,4,4e-04,9996
1,2,1,1,0.6,600,0,0,10000
1,2,1,1,0.7,600,0,0,10000
1,2,1,1,0.8,600,0,0,10000
1,2,1,1,0.9,600,0,0,10000
1,2,1,2,0.6,600,0,0,10000
1,2,1,2,0.7,600,0,0,10000
1,2,1,2,0.8,600,0,0,10000
1,2,1,2,0.9,600,0,0,10000
1,2,1,3,0.6,600,0,0,10000
1,2,1,3,0.7,600,0,0,10000
1,2,1,3,0.8,600,0,0,10000
1,2,1,3,0.9,600,0,0,10000
1,2,3,1,0.6,300,0,0,10000
1,2,3,1,0.7,300,0,0,10000
1,2,3,1,0.8,300,2,2e-04,9998
1,2,3,1,0.9,300,178,0.0178,9822
1,2,3,2,0.6,300,0,0,10000
1,2,3,2,0.7,300,0,0,10000
1,2,3,2,0.8,300,5,5e-04,9995
1,2,3,2,0.9,300,242,0.0242,9758
1,2,3,3,0.6,300,0,0,10000
1,2,3,3,0.7,300,0,0,10000
1,2,3,3,0.8,300,10,0.001,9990
1,2,3,3,0.9,300,151,0.0151,9849
1,2,3,1,0.6,600,0,0,10000
1,2,3,1,0.7,600,0,0,10000
1,2,3,1,0.8,600,0,0,10000
1,2,3,1,0.9,600,5,5e-04,9995
1,2,3,2,0.6,600,0,0,10000
1,2,3,2,0.7,600,0,0,10000
1,2,3,2,0.8,600,0,0,10000
1,2,3,2,0.9,600,13,0.0013,9987
1,2,3,3,0.6,600,0,0,10000
1,2,3,3,0.7,600,0,0,10000
1,2,3,3,0.8,600,0,0,10000
1,2,3,3,0.9,600,10,0.001,9990
2,2,1,1,0.6,300,0,0,10000
2,2,1,1,0.7,300,0,0,10000
2,2,1,1,0.8,300,0,0,10000
2,2,1,1,0.9,300,4,4e-04,9996
2,2,1,2,0.6,300,0,0,10000
2,2,1,2,0.7,300,0,0,10000
2,2,1,2,0.8,300,0,0,10000
2,2,1,2,0.9,300,12,0.0012,9988
2,2,1,3,0.6,300,0,0,10000
2,2,1,3,0.7,300,0,0,10000
2,2,1,3,0.8,300,0,0,10000
2,2,1,3,0.9,300,4,4e-04,9996
2,2,1,1,0.6,600,0,0,10000
2,2,1,1,0.7,600,0,0,10000
2,2,1,1,0.8,600,0,0,10000
2,2,1,1,0.9,600,0,0,10000
2,2,1,2,0.6,600,0,0,10000
2,2,1,2,0.7,600,0,0,10000
2,2,1,2,0.8,600,0,0,10000
2,2,1,2,0.9,600,0,0,10000
2,2,1,3,0.6,600,0,0,10000
2,2,1,3,0.7,600,0,0,10000
2,2,1,3,0.8,600,0,0,10000
2,2,1,3,0.9,600,0,0,10000
2,2,3,1,0.6,300,0,0,10000
2,2,3,1,0.7,300,1,1e-04,9999
2,2,3,1,0.8,300,2,2e-04,9998
2,2,3,1,0.9,300,168,0.0168,9832
2,2,3,2,0.6,300,0,0,10000
2,2,3,2,0.7,300,0,0,10000
2,2,3,2,0.8,300,12,0.0012,9988
2,2,3,2,0.9,300,229,0.0229,9771
2,2,3,3,0.6,300,0,0,10000
2,2,3,3,0.7,300,0,0,10000
2,2,3,3,0.8,300,7,7e-04,9993
2,2,3,3,0.9,300,173,0.0173,9827
2,2,3,1,0.6,600,0,0,10000
2,2,3,1,0.7,600,0,0,10000
2,2,3,1,0.8,600,0,0,10000
2,2,3,1,0.9,600,12,0.0012,9988
2,2,3,2,0.6,600,0,0,10000
2,2,3,2,0.7,600,0,0,10000
2,2,3,2,0.8,600,0,0,10000
2,2,3,2,0.9,600,16,0.0016,9984
2,2,3,3,0.6,600,0,0,10000
2,2,3,3,0.7,600,0,0,10000
2,2,3,3,0.8,600,0,0,10000
2,2,3,3,0.9,600,7,7e-04,9993
