,dgp,error_distribution,running_variable,setup,p1,n,true_treatment_effect,median_bias_iv_ccf,median_bias_iv_ik,median_bias_lambda_1_ccf,median_bias_lambda_1_ik,median_bias_lambda_4_ccf,median_bias_lambda_4_ik,mad_iv_ccf,mad_iv_ik,mad_lambda_1_ccf,mad_lambda_1_ik,mad_lambda_4_ccf,mad_lambda_4_ik,rmse_iv_ccf,rmse_iv_ik,rmse_lambda_1_ccf,rmse_lambda_1_ik,rmse_lambda_4_ccf,rmse_lambda_4_ik,cov_iv_ccf,cov_iv_ik,cov_lambda_1_ccf,cov_lambda_1_ik,cov_lambda_4_ccf,cov_lambda_4_ik,cov_ar_ba_1,cov_ar_ba_2
0,1,1,3,1,0.6,300,0.04,0.06462828,0.103677916,0.007386601,0.032269981,-0.016090647,-0.005046952,0.508744998,0.492982732,0.166527811,0.174943661,0.088308832,0.088483933,155.7922251,79.99892711,0.273514648,0.281947427,0.139549512,0.13954562,0.9825,0.9854,0.9867,0.9861,0.9376,0.9456,0.9546,0.9278
1,1,1,3,1,0.7,300,0.04,0.081445621,0.103373596,0.051269888,0.076537712,0.01005528,0.028267313,0.306200893,0.280700259,0.173431558,0.173056895,0.101720089,0.103690569,22.57033099,193.4993988,0.270790482,0.276079639,0.155988097,0.158990188,0.9704,0.9717,0.9899,0.9886,0.962,0.96,0.9574,0.9377
2,1,1,3,1,0.8,300,0.04,0.060584781,0.072335961,0.055768576,0.073719054,0.029175922,0.048005459,0.209787816,0.1853217,0.160822726,0.150406104,0.11596737,0.114482389,4.08917318,11.66663514,0.257691302,0.241469497,0.176706939,0.172832637,0.9502,0.9491,0.9877,0.9814,0.9703,0.9681,0.9525,0.9462
3,1,1,3,1,0.9,300,0.04,0.026353367,0.037622837,0.033126009,0.044905319,0.024121095,0.03771328,0.153193429,0.13418062,0.133670822,0.119737384,0.117004626,0.109354532,3.100564338,0.294784822,0.224247925,0.193967913,0.185585252,0.169210071,0.9202,0.9192,0.9611,0.952,0.9566,0.9491,0.945,0.9349
4,1,1,3,2,0.6,300,0.04,0.063615943,0.097453478,0.011292421,0.037191484,-0.013237677,-0.002233221,0.493104405,0.473896528,0.165694215,0.178527925,0.08960379,0.089578245,60.02603813,1099.739191,0.276769589,0.289385705,0.142530225,0.145166601,0.9811,0.9847,0.9847,0.9872,0.94,0.9476,0.9516,0.9284
5,1,1,3,2,0.7,300,0.04,0.079463559,0.106893816,0.047735341,0.083915489,0.010836709,0.034180422,0.310599747,0.281721708,0.1761648,0.179455922,0.106741219,0.110453465,10.93030504,34.22738727,0.282454053,0.28745588,0.163391447,0.168106346,0.9721,0.9712,0.9898,0.9879,0.9595,0.9578,0.9539,0.9376
6,1,1,3,2,0.8,300,0.04,0.057175903,0.069350305,0.055356327,0.072482803,0.029078459,0.050055625,0.207178844,0.185032694,0.164905391,0.152785733,0.119650856,0.119080851,16.41312195,3.095133198,0.260991244,0.246925778,0.182152959,0.179472614,0.9512,0.9488,0.9857,0.9751,0.9682,0.9616,0.9584,0.9434
7,1,1,3,2,0.9,300,0.04,0.028392181,0.037229943,0.034123517,0.046823913,0.02591989,0.039269619,0.157182674,0.137392111,0.13712032,0.120580117,0.120835603,0.110841494,1.260738443,1.029425583,0.22569376,0.196414222,0.191295442,0.173820132,0.9143,0.9098,0.9508,0.9421,0.9467,0.9391,0.9378,0.9262
8,1,1,3,3,0.6,300,0.04,0.06631152,0.099974403,0.012223847,0.035292824,-0.013368445,-0.005010784,0.506880704,0.481181092,0.17059069,0.173929072,0.089742599,0.089152499,24.23289711,24.61070693,0.272457707,0.282734829,0.139257561,0.139351265,0.9823,0.9844,0.9851,0.9862,0.9422,0.9419,0.9567,0.9244
9,1,1,3,3,0.7,300,0.04,0.092222802,0.109762621,0.052620144,0.077649872,0.012732133,0.029764425,0.319617968,0.284247253,0.176123885,0.177868207,0.102218651,0.105798591,26.13295359,22.15504474,0.278162924,0.278998178,0.159507172,0.161863648,0.9683,0.9686,0.9905,0.989,0.9595,0.9624,0.9525,0.9345
