dgp,error_distribution,running_variable,setup,p1,n,true_treatment_effect,median_bias_iv_ccf,median_bias_iv_ik,median_bias_lambda_1_ccf,median_bias_lambda_1_ik,median_bias_lambda_4_ccf,median_bias_lambda_4_ik,mad_iv_ccf,mad_iv_ik,mad_lambda_1_ccf,mad_lambda_1_ik,mad_lambda_4_ccf,mad_lambda_4_ik,rmse_iv_ccf,rmse_iv_ik,rmse_lambda_1_ccf,rmse_lambda_1_ik,rmse_lambda_4_ccf,rmse_lambda_4_ik,cov_iv_ccf,cov_iv_ik,cov_lambda_1_ccf,cov_lambda_1_ik,cov_lambda_4_ccf,cov_lambda_4_ik,cov_ar_ba_1,cov_ar_ba_2
2,1,3,1,0.6,300,-3.44,-4.95633114,-5.906141958,-1.195155562,-1.91905599,1.469252183,0.988727915,11.3372306,11.61599589,2.412180965,2.885721872,1.469252183,1.011455931,1299.716335,2323.162884,4.166846926,4.328646461,2.733208132,2.551028629,0.9821,0.9856,0.709,0.7547,0.4105,0.5126,0.4657,0.1608
2,1,3,1,0.7,300,-3.44,-3.721362645,-3.931392297,-1.635524992,-2.055829559,0.497297086,0.085436648,4.721482394,4.525256572,1.919993755,2.235016429,0.595798276,0.471846984,128.5608942,338.2317062,2.830676987,2.918883186,1.587876705,1.309551706,0.9841,0.9886,0.9098,0.942,0.727,0.8291,0.6797,0.4183
2,1,3,1,0.8,300,-3.44,-1.885674408,-1.799302628,-1.17735448,-1.184236404,0.087932446,-0.143453977,1.974409837,1.835224836,1.223971325,1.200104528,0.414757203,0.40441538,59.17915232,49.71768606,1.914905096,1.882388092,0.826693438,0.692509829,0.9802,0.9802,0.9826,0.9926,0.9179,0.9653,0.8645,0.7468
2,1,3,1,0.9,300,-3.44,-0.612426654,-0.537861444,-0.406826423,-0.311981363,0.010673255,0.002159851,0.676565769,0.586183801,0.508722384,0.430487892,0.339126778,0.310505381,5.546018756,8.867391337,1.128067984,0.97832666,0.696349159,0.660207689,0.9562,0.9593,0.9753,0.97559756,0.9556,0.9591,0.9568,0.9417
2,1,3,2,0.6,300,-3.44,-5.137031302,-6.149844865,-1.365744383,-2.116439124,1.340796764,0.838715828,11.55421269,11.59660348,2.575315686,3.012354641,1.341845638,0.930007631,445.8320137,2431.559303,4.158884731,4.367544779,2.664330968,2.487733106,0.9832,0.9861,0.7203,0.7697,0.4461,0.5422,0.4439,0.1479
2,1,3,2,0.7,300,-3.44,-3.794679879,-3.948398846,-1.750448618,-2.20034671,0.374407868,-0.082199164,4.731726143,4.459771446,2.043381191,2.336356225,0.585390675,0.525303649,207.8405704,246.7475471,2.901098899,3.045682396,1.541693147,1.265806257,0.9833,0.9856,0.915,0.9514,0.7501,0.8535,0.6524,0.3955
2,1,3,2,0.8,300,-3.44,-1.899888135,-1.809961012,-1.22733735,-1.21652872,-0.027414896,-0.255900874,1.99173321,1.853039259,1.268280066,1.228811474,0.416867866,0.439689719,202.1519545,118.6217861,1.952275989,1.947963859,0.828289065,0.745972386,0.9808,0.9798,0.984,0.9933,0.9315,0.9717,0.8568,0.7344
2,1,3,2,0.9,300,-3.44,-0.617161496,-0.533160084,-0.407633569,-0.310824491,-0.028914745,-0.036480816,0.683720669,0.589668004,0.516065315,0.426771035,0.346506378,0.318973577,31.31173889,4.043293973,1.151223164,0.984645308,0.745814983,0.698907301,0.9511,0.9539,0.9716,0.9682,0.9522,0.9527,0.9496,0.9354
2,1,3,3,0.6,300,-3.44,-5.000905535,-5.865010831,-1.234718027,-1.94753751,1.422901063,0.937994573,11.11778556,11.32978469,2.427697475,2.867439786,1.422901063,0.970144518,735.6127347,662.6624455,4.1179116,4.270740644,2.699843584,2.513452996,0.9801,0.9837,0.7162,0.7616,0.4246,0.5219,0.467,0.1612
2,1,3,3,0.7,300,-3.44,-3.747720739,-3.886417372,-1.689714105,-2.083882652,0.475237318,0.05212127,4.821971295,4.522259519,1.987297986,2.270489501,0.590338479,0.481809081,1418.734473,134.6678037,2.877715391,2.962145011,1.582694747,1.29372498,0.9823,0.9843,0.9101,0.943,0.734,0.8389,0.6768,0.4084
