"dgp","error_distribution","running_variable","setup","p1","n","true_treatment_effect","median_bias_iv_ccf","median_bias_iv_ik","median_bias_lambda_1_ccf","median_bias_lambda_1_ik","median_bias_lambda_4_ccf","median_bias_lambda_4_ik","mad_iv_ccf","mad_iv_ik","mad_lambda_1_ccf","mad_lambda_1_ik","mad_lambda_4_ccf","mad_lambda_4_ik","rmse_iv_ccf","rmse_iv_ik","rmse_lambda_1_ccf","rmse_lambda_1_ik","rmse_lambda_4_ccf","rmse_lambda_4_ik","cov_iv_ccf","cov_iv_ik","cov_lambda_1_ccf","cov_lambda_1_ik","cov_lambda_4_ccf","cov_lambda_4_ik","cov_ar_ba_1","cov_ar_ba_2"
2,2,3,1,0.6,300,-3.44,-4.84280963570207,-5.72640970173303,-1.16150402281325,-1.87883499813645,1.4759341957526,0.977298331807723,11.2122698084747,11.389040252633,2.38823942581757,2.8499054761604,1.47694079247068,1.0299613868961,387.044472026693,999.416299905101,4.11557357737813,4.32132695384382,2.705583781643,2.54690074219762,0.9798,0.9859,0.7182,0.7586,0.4251,0.5204,0.495,0.1885
2,2,3,1,0.7,300,-3.44,-3.77181800469924,-3.95668799158345,-1.64082656259793,-2.05916693103863,0.525472069408465,0.094947359662757,4.75136646092216,4.53576644296104,1.93039242399379,2.23122168324778,0.646948330549378,0.512306239330432,449.206993942183,280.333848308305,2.81883703736771,2.9631202666495,1.58998393300061,1.30483212697566,0.9816,0.9825,0.9092,0.9455,0.7245,0.8361,0.6978,0.4368
2,2,3,1,0.8,300,-3.44,-1.87128660384981,-1.78257025334645,-1.15487447631801,-1.18330605962113,0.0617934663516171,-0.156765077325421,1.95216037676836,1.81785287468214,1.21114797995962,1.20272569479375,0.445341952238333,0.42899751440645,715.102622293006,81.8615669144289,1.95176736805284,1.91467353641701,0.856400443264389,0.733721556468454,0.9797,0.9805,0.9834,0.9928,0.9254,0.9679,0.8743,0.7622
2,2,3,1,0.9,300,-3.44,-0.620857376205581,-0.536051220396663,-0.404286140655556,-0.301220404012766,0.0206551871237881,0.00701697727400297,0.70852447150081,0.615739543735556,0.546460187700335,0.459288129114603,0.372536819280419,0.349513035255767,8.84907766795999,2.50329742464644,1.24357587963744,1.01515759417901,0.868601315076232,0.703522986264523,0.9565,0.9573,0.9744,0.9742,0.9526,0.9573,0.9557,0.9431
2,2,3,2,0.6,300,-3.44,-4.85133506388275,-5.70366806628014,-1.25489768380024,-2.02200066939641,1.38298253410627,0.845857368722096,11.1893626081196,11.4195090283047,2.49090193239278,2.98601350475554,1.38891451278286,0.97434365839835,6956.67424855257,9342.6863856459,4.22321956824469,4.41776215938341,2.70516144765355,2.5211135840079,0.9815,0.9861,0.7193,0.7682,0.4474,0.5475,0.4711,0.1762
2,2,3,2,0.7,300,-3.44,-3.72442570790415,-3.87866414085981,-1.71844282711668,-2.13266562274092,0.4038957111527,-0.0430696682107148,4.71383474661434,4.46216224239715,2.03662580167453,2.31378601175533,0.628977581628039,0.556175470225952,2300.69210859051,707.782549250547,2.93026050569558,3.07010840091357,1.5779150272553,1.30340883132236,0.9836,0.9846,0.9147,0.9504,0.7432,0.8496,0.6736,0.424
2,2,3,2,0.8,300,-3.44,-1.92662375469741,-1.8291770258652,-1.23861664787566,-1.22310241935881,-0.0248890975395395,-0.256025264975998,2.01912358755799,1.86797320926132,1.2919656693986,1.24604660310339,0.459248339085789,0.459743224831923,110.720768365491,24.8564003574141,2.04169500973606,1.99725884588486,0.897111095477667,0.825032958687053,0.9814,0.9808,0.9824,0.9901,0.9335,0.9692,0.8592,0.7446
2,2,3,2,0.9,300,-3.44,-0.62673054669174,-0.534041198311555,-0.402924339584874,-0.308609110656072,-0.0171361976332893,-0.0292817534696648,0.728478615778314,0.6194773323942,0.539743647218772,0.4562333060303,0.377586785649244,0.344470153975869,25.3412980101439,11.6115926423745,1.20566566382776,1.05281758423631,0.807283187012314,0.756271797831808,0.9533,0.9551,0.9667,0.9662,0.9482,0.9532,0.9455,0.9312
2,2,3,3,0.6,300,-3.44,-5.03737082800276,-5.96335100749965,-1.17770075298879,-1.92520150855946,1.45581294270056,0.969719245067272,11.2069727211884,11.514622622568,2.41754493839855,2.8706917584625,1.45770537421956,1.02416895490893,1416.63527031578,645.510237589928,4.12392687771086,4.32025182387405,2.70530688737709,2.53075804091179,0.9807,0.9857,0.7194,0.7649,0.4166,0.5254,0.4891,0.1876
2,2,3,3,0.7,300,-3.44,-3.71240449131941,-3.82751987982962,-1.66480665508261,-2.05347137940161,0.475666287171062,0.059100903296665,4.70726277842625,4.49217091340135,1.95649923892719,2.24393739084454,0.623506525811661,0.509451597156686,412.349532127565,228.966558046701,2.89993397016423,2.99275328324718,1.59854840695171,1.30519275359945,0.9845,0.9877,0.9127,0.9469,0.7341,0.8384,0.6965,0.4394
2,2,3,3,0.8,300,-3.44,-1.91273568667688,-1.8327267453732,-1.1876395982733,-1.21086116500424,0.0653618753830774,-0.177615000640552,2.01477766429925,1.87385521741471,1.24756434085198,1.23449540695582,0.437475331324163,0.437082639617073,120.692590020153,80.0332037460561,1.99921410960697,1.95470536933215,0.891471156057115,0.76040912343489,0.9792,0.9813,0.9819,0.9925,0.921,0.9657,0.87,0.7575
2,2,3,3,0.9,300,-3.44,-0.63122354000937,-0.551083657093184,-0.407808289399096,-0.323448526513644,0.00964382749054171,-0.0146520512628368,0.725232764152576,0.637611137811264,0.560672267719236,0.472792732763504,0.37842334285522,0.356137767017218,8.56509225467456,2.64684770691861,1.21252023194846,1.05058281210417,0.773189870218617,0.721705160459138,0.958,0.9549,0.9718,0.9726,0.9474,0.9558,0.9511,0.9346
2,2,3,1,0.6,600,-3.44,-8.05550149340448,-8.9291506271738,-3.57196324758064,-4.54737504793191,-0.0631222073621214,-0.819396162108504,12.6377117644445,12.3387206420504,4.30087337987814,5.0544006936738,1.05463615573738,1.38138089793184,1074.14210803637,1616.17616694132,5.26050847742334,5.74203146863412,2.3980514849749,2.31274134232308,0.991,0.9905,0.8221,0.8696,0.6703,0.7598,0.1489,0.0177
2,2,3,1,0.7,600,-3.44,-4.62178237426921,-4.52283261377546,-3.12824256942137,-3.29695497209351,-0.877070489640542,-1.34890977306628,4.84704697349784,4.61842508251427,3.21153094933899,3.32835518543741,0.997159213269856,1.37949429080155,596.183123034135,82.1091358241213,3.8169360655948,3.99342266183044,1.37242278066738,1.57535679229174,0.9829,0.9676,0.9758,0.9917,0.9353,0.9753,0.3491,0.1154
2,2,3,1,0.8,600,-3.44,-2.00645652884571,-1.87557026317212,-1.60062426629645,-1.4771881626914,-0.794362116278128,-0.891690364647173,2.01105647846807,1.87824960970556,1.60399763842781,1.47811473835981,0.804856991442231,0.894054792766583,22.5335252662282,4.05067210236278,2.2496869319455,2.04903927082216,1.06217311987922,1.15831709944307,0.9776,0.9466,0.9987,0.9997,0.9959,0.999,0.6675,0.4576
2,2,3,1,0.9,600,-3.44,-0.67633936385474,-0.575490888700104,-0.52001266581424,-0.388333579375147,-0.29888342935755,-0.226784853481297,0.684976651555411,0.583049011919358,0.537683148854239,0.414938334517688,0.368817308783092,0.308541266045663,1.3379006577131,1.01575840626126,0.931466527842782,0.740900592079574,0.629715415545072,0.553835308160669,0.9701,0.9538,0.9957,0.9956,0.9933,0.9927,0.9246,0.8894
2,2,3,2,0.6,600,-3.44,-8.13567732332574,-9.0333654661322,-3.74634659549145,-4.70426110253459,-0.194889796318703,-0.969882403309881,12.787958577779,12.3784016731849,4.47605374531049,5.20514085750522,1.14722149214901,1.50214177618895,745.85922039833,2888.05209344457,5.43599355761299,5.90357634985128,2.42402737608983,2.35245263581903,0.9892,0.989,0.827,0.8783,0.6825,0.7701,0.1245,0.0155
2,2,3,2,0.7,600,-3.44,-4.48354923585433,-4.37978548843959,-3.15762911522617,-3.31040619814493,-1.01505239322087,-1.50300168975427,4.7003952285061,4.45226318002809,3.2279533833017,3.33181965810315,1.11160996577162,1.53057604305939,166.040379790754,395.062763542959,3.88260094300025,4.05683921423039,1.45071137930931,1.72458555156223,0.9817,0.964,0.9814,0.9938,0.9488,0.981,0.3243,0.1101
2,2,3,2,0.8,600,-3.44,-2.00348553340669,-1.84439704348605,-1.60285405526157,-1.46295071276256,-0.864689732311446,-0.941604550873856,2.01306400473001,1.84712895000563,1.60535246927515,1.46378280218896,0.872703832848371,0.942521203518347,17.9497066975625,42.7303469305754,2.23127093815409,2.03212891829019,1.1251860791608,1.21377590315619,0.9735,0.9388,0.9991,0.9997,0.9958,0.999,0.6365,0.4408
