dgp,error_distribution,running_variable,setup,p1,n,true_treatment_effect,median_bias_iv_ccf,median_bias_iv_ik,median_bias_lambda_1_ccf,median_bias_lambda_1_ik,median_bias_lambda_4_ccf,median_bias_lambda_4_ik,mad_iv_ccf,mad_iv_ik,mad_lambda_1_ccf,mad_lambda_1_ik,mad_lambda_4_ccf,mad_lambda_4_ik,rmse_iv_ccf,rmse_iv_ik,rmse_lambda_1_ccf,rmse_lambda_1_ik,rmse_lambda_4_ccf,rmse_lambda_4_ik,cov_iv_ccf,cov_iv_ik,cov_lambda_1_ccf,cov_lambda_1_ik,cov_lambda_4_ccf,cov_lambda_4_ik,cov_ar_ba_1,cov_ar_ba_2
2,1,1,1,0.6,300,-3.44,-5.314344059,-5.539358084,-1.46753237,-1.738945062,1.099930545,0.797024382,10.49449573,9.501939656,2.291481815,2.3518979,1.099930545,0.799425377,4866.861983,1891.742834,3.791509841,3.584562884,2.452124388,2.194644677,0.9824,0.9866,0.7619,0.8094,0.4971,0.576,0.7389,0.4596
2,1,1,1,0.7,300,-3.44,-3.241091893,-2.949158858,-1.485540084,-1.380203637,0.373360457,0.258568971,3.746264247,3.191551796,1.652016526,1.454412849,0.439048504,0.357941854,2540.866443,658.2034576,2.387450657,2.131211095,1.232189842,0.936641446,0.9855,0.9791,0.9481,0.972,0.8252,0.8888,0.8598,0.7031
2,1,1,1,0.8,300,-3.44,-1.275186072,-0.927569971,-0.601151968,-0.280342652,0.221784253,0.311018624,1.302442645,0.943044537,0.701637806,0.54950056,0.368170059,0.408147588,26.64596235,19.43616363,1.397429875,1.117987316,0.618295655,0.581002122,0.9818,0.969,0.9854,0.9697,0.9349,0.9051,0.9489,0.8957
2,1,1,1,0.9,300,-3.44,-0.195069907,0.066447325,0.155755142,0.453049152,0.398045801,0.625083644,0.417593106,0.395008564,0.411912215,0.532510185,0.454883266,0.635226124,3.083220242,30.0821377,0.69769468,0.695942705,0.579681499,0.727458944,0.9709,0.9681,0.91,0.7386,0.8229,0.6191,0.9878,0.9724
2,1,1,2,0.6,300,-3.44,-5.462985579,-5.738327176,-1.749425604,-2.117183843,0.877059066,0.514762744,10.31255404,9.27165388,2.514916843,2.700241569,0.89957193,0.645797782,1413.080141,472.5676695,3.957509122,3.830783372,2.391533155,2.116962075,0.9865,0.9883,0.7836,0.8338,0.5468,0.6374,0.7407,0.4482
2,1,1,2,0.7,300,-3.44,-3.210308891,-2.869762879,-1.616660305,-1.478747925,0.140279632,-0.002162495,3.621826559,3.051848043,1.752052079,1.540211409,0.402626332,0.375660814,464.4309786,697.7322856,2.47816709,2.269192444,1.116772367,0.856563397,0.9838,0.9782,0.9602,0.9784,0.8661,0.9233,0.8567,0.6862
2,1,1,2,0.8,300,-3.44,-1.269945223,-0.911000396,-0.603514414,-0.274138887,0.105310474,0.2084885,1.295809283,0.923498243,0.684779278,0.545564774,0.36596262,0.398230364,56.62185867,27.61331965,1.432779199,1.127342598,0.607649071,0.562859886,0.9763,0.9672,0.9838,0.9581,0.9454,0.9021,0.9433,0.8792
2,1,1,2,0.9,300,-3.44,-0.150823899,0.117715164,0.190075795,0.474225228,0.385257036,0.607658297,0.403735055,0.401565137,0.41430851,0.553230041,0.444171083,0.621603527,4.543595415,1.295825475,0.714545191,0.725100035,0.585858895,0.733340209,0.9739,0.9659,0.8659,0.6692,0.7942,0.5743,0.9848,0.9703
2,1,1,3,0.6,300,-3.44,-5.333438271,-5.666552569,-1.498726949,-1.789331343,1.104984724,0.790390543,10.38879704,9.433123853,2.288726167,2.361988194,1.104984724,0.794601492,3779.245635,443.2561852,3.809138888,3.59257014,2.449777494,2.184774901,0.9847,0.9867,0.771,0.8177,0.492,0.5739,0.7454,0.4651
2,1,1,3,0.7,300,-3.44,-3.263140984,-2.90838146,-1.494897417,-1.391303186,0.333804049,0.235526516,3.697347279,3.115760893,1.639998835,1.468497741,0.422637372,0.357264099,302.854986,802.9044709,2.378167261,2.121061964,1.206774903,0.902088241,0.9847,0.9797,0.9511,0.9751,0.8266,0.8942,0.8625,0.6976
2,1,1,3,0.8,300,-3.44,-1.321953731,-0.974286298,-0.619881758,-0.284137873,0.204478555,0.296827463,1.358688628,0.989862228,0.700275172,0.544374959,0.356402419,0.40367146,46.88014224,205.0207154,1.443319943,1.151129473,0.643437418,0.581854803,0.9804,0.9727,0.9849,0.9679,0.9365,0.907,0.9479,0.8913
2,1,1,3,0.9,300,-3.44,-0.174661038,0.09030977,0.179560633,0.456835735,0.406507262,0.623452697,0.406308668,0.399954557,0.415528024,0.54000291,0.457571891,0.63436449,2.353966117,2.602853423,0.691769728,0.698760707,0.584313205,0.731140076,0.9722,0.967,0.9025,0.7236,0.8156,0.6042,0.9846,0.9718
2,1,1,1,0.6,600,-3.44,-7.689766993,-7.883628587,-3.495476413,-3.89882723,-0.222569989,-0.639129849,11.38232702,10.24663969,4.041630921,4.25879859,0.906449928,0.99606613,1403.254896,2817.123751,4.899099731,4.793533579,2.181679105,1.867539836,0.9882,0.9807,0.8459,0.9019,0.7066,0.7891,0.5867,0.2006
2,1,1,1,0.7,600,-3.44,-3.96123751,-3.460708202,-2.584326012,-2.207938697,-0.777526164,-0.862157234,4.097817139,3.506522158,2.633317986,2.224584713,0.839061631,0.880899204,417.6971586,53.36913024,3.258659189,2.94607372,1.124289853,1.060188484,0.9698,0.918,0.9855,0.9955,0.9594,0.986,0.7672,0.4416
2,1,1,1,0.8,600,-3.44,-1.54652371,-1.186038539,-1.0234414,-0.642175831,-0.453958681,-0.257606129,1.551759506,1.186510191,1.024858414,0.666263897,0.49407794,0.402522446,95.69642658,5.648017744,1.681924952,1.267760469,0.763492762,0.65780767,0.9503,0.8752,0.998,0.9908,0.9939,0.9786,0.9114,0.7485
2,1,1,1,0.9,600,-3.44,-0.340035118,-0.08051156,-0.063417108,0.249835469,0.096070042,0.358442478,0.3881845,0.310345849,0.315761335,0.372327383,0.292107351,0.409700922,0.989300624,0.620321724,0.593184451,0.530595478,0.444821863,0.532847119,0.9606,0.9316,0.9497,0.7795,0.9204,0.716,0.9799,0.9524
2,1,1,2,0.6,600,-3.44,-7.83289058,-7.939529395,-3.83786233,-4.206721576,-0.476633914,-0.962976054,11.17132122,9.986397952,4.330961194,4.542571081,1.057339956,1.244040074,376.0614769,398.1977957,5.151601302,5.133719651,2.193526745,1.975108026,0.9878,0.9805,0.8658,0.9107,0.7471,0.8269,0.5875,0.1906
2,1,1,2,0.7,600,-3.44,-3.897388296,-3.382180221,-2.630966047,-2.233128579,-0.973506518,-1.067415853,3.999682618,3.425863633,2.674185793,2.245036142,1.017482702,1.078803249,58.21069663,164.3256329,3.356630913,3.023909071,1.265933522,1.266083574,0.9638,0.9014,0.9887,0.9963,0.9695,0.9905,0.7642,0.4211
2,1,1,2,0.8,600,-3.44,-1.521306342,-1.148585856,-0.999007632,-0.610173903,-0.524763168,-0.293567652,1.525247604,1.148689392,0.999934211,0.636519711,0.544795978,0.419519633,123.634414,16.25248705,1.670331451,1.217932121,0.838087823,0.708867247,0.9384,0.843,0.9986,0.9847,0.9946,0.9732,0.9012,0.7211
2,1,1,2,0.9,600,-3.44,-0.293818876,-0.028098508,-0.013063773,0.306389372,0.110878217,0.387829544,0.361697748,0.307541809,0.318228557,0.40218258,0.302439141,0.43158226,0.905358825,1.034497218,0.58954302,0.560469041,0.462845758,0.559695357,0.9578,0.9253,0.9111,0.7097,0.8824,0.6548,0.9789,0.9485
2,1,1,3,0.6,600,-3.44,-7.888121059,-8.073908957,-3.593169123,-3.947517027,-0.26842729,-0.694909281,11.26907307,10.15528971,4.085631318,4.277843352,0.927754528,1.031736351,840.6851185,413.9976165,4.846037108,4.803157059,2.115834885,1.849041576,0.988,0.9796,0.8618,0.9051,0.7176,0.8013,0.5914,0.2002
2,1,1,3,0.7,600,-3.44,-3.875897192,-3.389451515,-2.563597383,-2.213265895,-0.805734347,-0.898368372,4.000074789,3.439828379,2.593486574,2.225759752,0.858218553,0.913088952,218.7169757,42.97264411,3.239530299,2.938488909,1.110456874,1.087241365,0.9697,0.9191,0.9895,0.9965,0.9648,0.9896,0.772,0.4377
2,1,1,3,0.8,600,-3.44,-1.546515065,-1.184780883,-1.026180532,-0.630305198,-0.476272545,-0.262814374,1.548517019,1.184832477,1.027372775,0.65547162,0.511285304,0.401671513,112.2473343,25.60402551,1.667009924,1.257698984,0.775059079,0.663428742,0.9454,0.8679,0.9982,0.9902,0.9941,0.9771,0.8986,0.7375
2,1,1,3,0.9,600,-3.44,-0.329295703,-0.065014031,-0.048664959,0.274440348,0.099001553,0.373430869,0.378889443,0.306139669,0.312652977,0.387540921,0.296135626,0.41817997,0.916494214,0.615368086,0.591312701,0.536247013,0.445742841,0.538381307,0.9631,0.9318,0.9465,0.7623,0.9179,0.7003,0.9791,0.9516
