"dgp","error_distribution","running_variable","setup","p1","n","true_treatment_effect","median_bias_iv_ccf","median_bias_iv_ik","median_bias_lambda_1_ccf","median_bias_lambda_1_ik","median_bias_lambda_4_ccf","median_bias_lambda_4_ik","mad_iv_ccf","mad_iv_ik","mad_lambda_1_ccf","mad_lambda_1_ik","mad_lambda_4_ccf","mad_lambda_4_ik","rmse_iv_ccf","rmse_iv_ik","rmse_lambda_1_ccf","rmse_lambda_1_ik","rmse_lambda_4_ccf","rmse_lambda_4_ik","cov_iv_ccf","cov_iv_ik","cov_lambda_1_ccf","cov_lambda_1_ik","cov_lambda_4_ccf","cov_lambda_4_ik","cov_ar_ba_1","cov_ar_ba_2"
2,2,1,1,0.6,300,-3.44,-5.2296853043943,-5.4342523354273,-1.44889586326451,-1.68407229684051,1.11450288829652,0.82655875740393,10.2585179214649,9.25943698352312,2.25257165342186,2.29014599835183,1.11730877814586,0.835687157203219,3724.16966256092,1947.72963374091,3.79458239662232,3.59972183618538,2.44135993429973,2.20504262336049,0.9871,0.9877,0.7734,0.8127,0.5002,0.5772,0.7513,0.4879
2,2,1,1,0.7,300,-3.44,-3.3011462095822,-2.95791516469193,-1.45376014485849,-1.36296537513516,0.375062624715373,0.282654920406846,3.79383650822998,3.18425500686133,1.62302530679544,1.46698785134987,0.467757955770316,0.406997490914166,311.259790978379,173.433111808537,2.42480423434467,2.18050759504467,1.26051363795452,0.994258125901249,0.9838,0.9786,0.9479,0.9682,0.8251,0.8859,0.861,0.7008
2,2,1,1,0.8,300,-3.44,-1.34716903786153,-0.995424719359296,-0.629638296827911,-0.284999522114486,0.220153436214151,0.313957352182471,1.38034462616416,1.00992597669471,0.731082090525109,0.581797295016232,0.389449943251274,0.43268064543999,28.5500817910857,14.4123615984939,1.42143088613983,1.14508380313528,0.658949979784085,0.625064549934153,0.9778,0.964,0.986,0.9694,0.938,0.9043,0.9414,0.8937
2,2,1,1,0.9,300,-3.44,-0.186226424991746,0.08854590839251,0.167963541504801,0.470989659846337,0.406076498959164,0.638604318259641,0.43549356624895,0.4179610780243,0.432483326066213,0.55921721478931,0.472179169798165,0.652116948840264,2.96893280239867,0.944111676104117,0.734731222743232,0.730223143267136,0.625579423936224,0.769541691898952,0.9727,0.9671,0.9098,0.7475,0.8385,0.6401,0.9851,0.9747
2,2,1,2,0.6,300,-3.44,-5.39116022545489,-5.68190198338885,-1.70986254622659,-2.04418653415668,0.889254696482867,0.534918233180443,10.3925436946965,9.25832436431402,2.50161098521593,2.6498897709352,0.928222439146403,0.685101832089141,298.407336498279,377.277703456541,3.95705828085007,3.82990894418874,2.39019752481692,2.12390780844137,0.9866,0.9871,0.7854,0.8336,0.5513,0.6416,0.7366,0.4613
2,2,1,2,0.7,300,-3.44,-3.19937989988126,-2.81185388941626,-1.6021014570985,-1.47132469371909,0.143656665575823,0.0074871921014501,3.5644770877973,2.98564260011079,1.72810400592731,1.53715572882192,0.44308673986804,0.411453234266889,134.910633571176,169.2888572114,2.52233740269231,2.28472107231521,1.13859676729471,0.889392488725136,0.9832,0.9782,0.9616,0.9791,0.8701,0.928,0.8613,0.6987
2,2,1,2,0.8,300,-3.44,-1.24607715705175,-0.891230067674646,-0.57869878597068,-0.244426297974885,0.108635346092273,0.223117418417837,1.27279257568793,0.91356270982319,0.682788251389431,0.550082235331749,0.387582077531397,0.426633942856115,161.985401043145,7.20026253216317,1.45474203408514,1.15820681543687,0.652170634289299,0.619734000145122,0.9783,0.9652,0.9866,0.9581,0.9509,0.913,0.9421,0.8847
2,2,1,2,0.9,300,-3.44,-0.149421901678441,0.114475467726742,0.196107934348439,0.489075549845809,0.394596634364563,0.622281373641817,0.43067484064544,0.424235467042842,0.44241954350047,0.571632167889421,0.465265600915869,0.643880049970709,3.7181955322886,1.64649448502585,0.73937601932073,0.75948339244919,0.636024362356087,0.773867829126358,0.973,0.9618,0.8751,0.6919,0.8117,0.6103,0.984,0.9703
2,2,1,3,0.6,300,-3.44,-5.40221169446235,-5.66060343427583,-1.51950717735794,-1.7721594544103,1.0942813174839,0.807232267783312,10.2329688239291,9.47299088730177,2.29376129484641,2.36113784949206,1.09855653836343,0.821873321072402,1073.52084216054,1222.94930774491,3.77703405238666,3.58314866429015,2.41676091870585,2.16591040243249,0.9845,0.9872,0.7772,0.8208,0.5064,0.5788,0.7543,0.4882
2,2,1,3,0.7,300,-3.44,-3.2657896041242,-2.95467171820442,-1.51769691125928,-1.39251147717173,0.334947943256373,0.22660957050698,3.69334505764531,3.14835260223025,1.66820120677232,1.47597345461343,0.457499211537332,0.384980198839456,1919.04165995294,187.583278349624,2.42444931871801,2.19238552595397,1.21057976732251,0.942493492982518,0.9842,0.9774,0.9517,0.975,0.83,0.8972,0.8587,0.7038
